timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394046098303950,0.9041652425786826,2.2393215204300376,-2.836033990138609,-2.7662372875861596,6,-0.005224219739246683,0.0,-0.05424018765095966,0.0,-0.05424018765095966,1,0.9146027266135583,-3.673718573183098,2.270933015115193,-3.280905514900725,48,0.099989983
1763394046108277349,0.8708251557019817,2.209711584282248,-3.334008687670087,-2.960993614778973,7,-0.005859076169593289,0.0,-0.049673918578833694,0.0,-0.049673918578833694,1,0.8755003197243274,-4.137784935907145,2.2355129933983227,-3.7919274527565068,48,0.109963382
1763394046118193091,0.834235058733066,2.174636357643501,-3.6590096968915686,-3.507522663874685,8,-0.005661187285452516,0.0,-0.045182975129895005,0.0,-0.045182975129895005,1,0.8320558331375664,-4.542380458131487,2.1952902260296496,-4.241628578533942,48,0.119879124
1763394046128179459,0.7955661349266689,2.1343984314848656,-3.866892380639708,-4.023792615863542,9,-0.005571866419005962,0.0,-0.040767348265078864,0.0,-0.040767348265078864,1,0.7848554095706292,-4.8892709975006685,2.1508721319856394,-4.631259348841281,48,0.129865492
1763394046138234941,0.7556402781962139,2.0899244218199327,-3.992585673045501,-4.447400966493298,10,-0.005624544899155594,0.0,-0.03642614932707668,0.0,-0.03642614932707668,1,0.7344662086685445,-5.180466177307754,2.1028512946031066,-4.962498258503007,48,0.139920974
1763394046148300000,0.7127109213625504,2.043301283377016,-4.29293568336635,-4.6623138442916545,11,-0.005134988030755667,0.0,-0.032157549829829414,0.0,-0.032157549829829414,1,0.6814345085147634,-5.418119557277178,2.0518020695907486,-5.237294020345753,48,0.149986033
1763394046158155418,0.6670621789259854,1.99583616742476,-4.564874243656503,-4.746511595225611,12,-0.004681665063413789,0.0,-0.027959050084933806,0.0,-0.027959050084933806,1,0.626284641120007,-5.604455631051546,1.9982783685970358,-5.457772955784447,48,0.159841451
1763394046168116274,0.6188402574623741,1.9490645740130383,-4.822192146361126,-4.677159341172166,13,-0.004186618343847604,0.0,-0.023828768919657087,0.0,-0.023828768919657087,1,0.5695186079113722,-5.741705935256084,1.9428122778779742,-5.626161346718992,48,0.169802307
1763394046178373774,0.5694376742791574,1.9009170369510568,-4.9402583183216775,-4.814753706198149,14,-0.0036789726411498415,0.0,-0.019770191796525692,0.0,-0.019770191796525692,1,0.5116162683657164,-5.8320600843516655,1.8859134115037817,-5.744717495664452,48,0.180059807
1763394046188171377,0.5191479163951298,1.8518098410142978,-5.028975788402756,-4.910719593675905,15,-0.003197335153063136,0.0,-0.01580894519574222,0.0,-0.01580894519574222,1,0.45303580528432646,-5.877666167254125,1.8280688256632003,-5.815694179827927,48,0.18985741
1763394046198221470,0.4713949398151694,1.8004985254290315,-4.775297657996042,-5.131131558526625,16,-0.003529305666705358,0.0,-0.012051490207391928,0.0,-0.012051490207391928,1,0.39421345525062257,-5.8808004472038915,1.769742893852292,-5.841406983875933,48,0.199907503
1763394046208218246,0.42259711273588235,1.7491629202668928,-4.879782707928704,-5.133560516213875,17,-0.0030469758218820324,0.0,-0.008879914815564657,0.0,-0.008879914815564657,1,0.33555902089989254,-5.844621381422694,1.7113750736518853,-5.824666682754443,48,0.209904279
1763394046218197997,0.37444653461672606,1.6986552979711356,-4.815057811915629,-5.050762229575723,18,-0.002866046803667862,0.0,-0.007150250272696434,0.0,-0.007150250272696434,1,0.2774354255702912,-5.775867381053776,1.6533685327769874,-5.770433393331373,48,0.21988403
1763394046228381607,0.32629382495091175,1.6501094904984046,-4.815270966581431,-4.854580747273096,19,-0.0024452588535941334,0.0,-0.005649607332653789,0.0,-0.005649607332653789,1,0.2200982410758642,-5.690176082572058,1.5960504991006954,-5.68999533857682,48,0.23006764
1763394046238302008,0.2788412956364639,1.602060623177235,-4.745252931444782,-4.804886732116964,20,-0.002360863488748163,0.0,-0.0037979237527618693,0.0,-0.0037979237527618693,1,0.16365846950290847,-5.597350245107517,1.5396025385924779,-5.598108517054848,48,0.239988041
1763394046248283603,0.23184939628734222,1.5564766097095335,-4.69918993491217,-4.558401346770147,21,-0.0019483825355269524,0.0,-0.002081551069084722,0.0,-0.002081551069084722,1,0.10817528021856634,-5.498284474161657,1.4841104632261257,-5.499111369630365,48,0.249969636
1763394046258060365,0.1858407233416494,1.511064779910413,-4.600867294569283,-4.54118297991204,22,-0.0020160960065060043,0.0,-0.0003783173661719038,0.0,-0.0003783173661719038,1,0.05371668539589576,-5.392675973611066,1.429640660655922,-5.393739240080939,48,0.259746398
1763394046268267564,0.1413068860061286,1.466979285591393,-4.45338373355208,-4.408549431902009,23,-0.001988463801376606,0.0,0.0012710704122506173,0.0,0.0012710704122506173,1,0.0003429606428347722,-5.281348613654355,1.3762542237089492,-5.282560856743585,48,0.269953597
1763394046278200139,0.09780068206972685,1.4228688171851365,-4.350620393640174,-4.411046840625654,24,-0.0021613661561189134,0.0,0.0028693241416273907,0.0,0.0028693241416273907,1,-0.05189102810192406,-5.164824091634146,1.3240060930477975,-5.166184633987556,48,0.279886172
1763394046288332636,0.055565322345644916,1.3807755278873204,-4.223535972408193,-4.209328929781608,25,-0.0020005339736678205,0.0,0.004408390619932616,0.0,0.004408390619932616,1,-0.10293638608525861,-5.043705242487876,1.272945287380497,-5.045202174147953,48,0.290018669
1763394046298230784,0.013831986974781621,1.3393909765432648,-4.17333353708633,-4.138455134405561,26,-0.001964748301528804,0.0,0.005892287026743807,0.0,0.005892287026743807,1,-0.15275008583658994,-4.918581064092797,1.2231149198198454,-4.92019957605059,48,0.299916817
1763394046308254377,-0.02640204980025633,1.299189045671156,-4.023403677503795,-4.020193087210888,27,-0.001987777476316343,0.0,0.007278339174785737,0.0,0.007278339174785737,1,-0.2012947196700952,-4.789955038065333,1.1745522619046347,-4.791761907360308,48,0.30994041
1763394046318407590,-0.06556565261363523,1.260810731589308,-3.9163602813378895,-3.8378314081847886,28,-0.0018339447935917328,0.0,0.008674398926980704,0.0,0.008674398926980704,1,-0.24853908405830846,-4.658707338527723,1.127289025599265,-4.6604019595723125,48,0.320093623
1763394046328229913,-0.10562700365823713,1.2224706351172199,-4.00613510446019,-3.8340096472088137,29,-0.0016779566497978655,0.0,0.010900001623149592,0.0,0.010900001623149592,1,-0.2944582983077005,-4.524783151135742,1.0813513064333957,-4.526775353218017,48,0.329915946
1763394046338292740,-0.14066908688483887,1.1856578721207367,-3.504208322660174,-3.6812762996483173,30,-0.0020806739279189803,0.0,0.013431623706470597,0.0,0.013431623706470597,1,-0.33898391323905375,-4.377056787356263,1.036753374366714,-4.392867305507309,48,0.339978773
1763394046348262810,-0.17606645970312837,1.1496300475363836,-3.53973728182895,-3.602782458435305,31,-0.001823630565661365,0.0,0.01588209593766776,0.0,0.01588209593766776,1,-0.38190020311714584,-4.200888863918443,0.9934886213786865,-4.260271499505513,48,0.349948843
1763394046358230371,-0.20901440115688702,1.1145135118816092,-3.294794145375865,-3.511653565477446,32,-0.001843572005293631,0.0,0.018243735972511516,0.0,0.018243735972511516,1,-0.42288111038528686,-3.9894657647329312,0.9515437539843573,-4.1287442110490105,48,0.359916404
1763394046368171820,-0.24329320855084943,1.0810081673232554,-3.427880739396241,-3.3505344558353745,33,-0.001263504111351365,0.0,0.020515712555700498,0.0,0.020515712555700498,1,-0.4615644467824609,-3.74129549626694,0.9109129475753543,-3.9973008743533565,48,0.369857853
1763394046378196545,-0.27420063512208603,1.0492466829891873,-3.09074265712366,-3.1761484334068113,34,-0.0011787300082819981,0.0,0.02269615292904271,0.0,0.02269615292904271,1,-0.49758206732745963,-3.45634900802132,0.8715995303148885,-3.865183741094103,48,0.379882578
1763394046388289197,-0.30469951428700004,1.0189680425403067,-3.0498879164914006,-3.0278640448880623,35,-0.000776532481598105,0.0,0.024781603319952862,0.0,0.024781603319952862,1,-0.5305675624924534,-3.1349094693893025,0.833611720473011,-3.7322084882662216,48,0.38997523
1763394046398298766,-0.33310770860860456,0.9899757500287034,-2.8408194321604516,-2.899229251160329,36,-0.0005461936417062935,0.0,0.026766080309183655,0.0,0.026766080309183655,1,-0.560157446335137,-2.777253277971963,0.7969559965232714,-3.5989289819441956,48,0.399984799
1763394046408126332,-0.3592831559787479,0.9628736947785004,-2.6175447370143323,-2.710205525020304,37,-0.00027748835619197966,0.0,0.02863901868797511,0.0,0.02863901868797511,1,-0.5859906050820443,-2.3835736958032054,0.7616291164290758,-3.4667537397424444,48,0.409812365
1763394046418302952,-0.3834741763043708,0.9376998470931981,-2.4191020325622925,-2.5173847685302286,38,4.6459936558193625e-06,0.0,0.03038147817799155,0.0,0.03038147817799155,1,-0.6077074659108567,-1.953989308153616,0.7276090325318162,-3.3380549895785263,48,0.419988985
1763394046428194097,-0.4052081535202095,0.9141312638232697,-2.1733977215838696,-2.356858326992839,39,0.00021835551984975048,0.0,0.03197586373744645,0.0,0.03197586373744645,1,-0.6249487210283223,-1.488343018771296,0.6948435414018715,-3.2166568236959105,48,0.42988013
