timestamp (ns),I0,I1,I2,relative_time
1763394221922479152,8.374517901247795,-5.170246704276249,0.8052762453063781,0.005906225
1763394221932140588,8.370256479982773,-5.172535228501301,0.8042416393284759,0.015567661
1763394221942496299,8.370623648625157,-5.172447891546311,0.8044543505706236,0.025923372
1763394221953410148,8.36119992034495,-5.187868080755654,0.7929102103561746,0.036837221
1763394221961958885,8.428288647557823,-5.229494578124685,0.7992723757527284,0.045385958
1763394221971971035,8.167882660676055,-5.110580175858283,0.778925725107482,0.055398108
1763394221982693433,8.154223132372817,-5.174358640130195,0.8030865805570735,0.066120506
1763394221992635250,8.10304414771181,-5.202730489710215,0.842097327486823,0.076062323
1763394222003057956,7.8682904198386465,-5.1399124861505445,0.8681160973323323,0.086485029
1763394222012808084,7.508549128108248,-5.00461295666887,0.8920068362832629,0.096235157
1763394222022269964,7.047510610903335,-4.861462391727428,0.9134155670326886,0.105697037
1763394222032023906,6.398403789052593,-4.615698214486757,0.9222405659371647,0.115450979
1763394222042801141,5.645720834614672,-4.313727521245336,0.9149745138435232,0.126228214
1763394222052263498,4.855958468009694,-3.952086410882821,0.8910289066908842,0.135690571
1763394222062815427,4.341649031431516,-3.5008944704100307,0.9631382084114188,0.1462425
1763394222072311878,3.4369211970189704,-3.1630458960262278,0.826477811987034,0.155738951
1763394222082709312,2.833123458187374,-2.800904358608512,0.7849738736221771,0.166136385
1763394222093085765,2.356958142127546,-2.52958205265342,0.758158278738106,0.176512838
1763394222103373765,1.9727762054514428,-2.3098288476789266,0.7439509587096775,0.186800838
1763394222113103628,1.660981195888195,-2.131784538241216,0.7394345090749835,0.196530701
1763394222122230529,1.260111797623355,-1.970331499829672,0.7920689673413713,0.205657602
1763394222132222414,1.134600860257587,-1.774080537072764,0.7131765081668358,0.215649487
1763394222142760276,0.9491319856107068,-1.6561421240146783,0.7181515010697014,0.226187349
1763394222152648687,0.78246891896763,-1.5373582225228146,0.7218424143783536,0.23607576
1763394222162298202,0.6093779440878931,-1.3668661057043023,0.6975059466667287,0.245725275
1763394222172702789,0.4586224535741521,-1.197607426273806,0.6658597043839758,0.256129862
1763394222182805299,0.3294290694205285,-1.025973556816279,0.6230377258068809,0.266232372
1763394222192904710,0.2146471488578212,-0.8319577037670159,0.5510224789433427,0.276331783
1763394222202549695,0.1138294965549603,-0.5841325238502342,0.4225273344400671,0.285976768
1763394222212980031,0.0101235612896849,-0.1688547640066793,0.1454958794868274,0.296407104
1763394222222509384,-0.0032735810976828,0.0546013154747418,-0.0470479258483997,0.305936457
1763394222232504606,0.0059020450966602,0.3869423701518911,-0.3634918350340905,0.315931679
1763394222243206739,0.0686953261715045,0.7049826343642843,-0.7212121223009418,0.326633812
1763394222252181529,0.19915720773552,1.0961425814544263,-1.2224218314808395,0.335608602
1763394222262248039,0.4059356135494575,1.4756367487956146,-1.783623890849943,0.345675112
1763394222272379636,0.6990650757738531,1.88132472743692,-2.466410599748285,0.355806709
1763394222282192230,1.062046328423644,2.206270261209231,-3.104063517104615,0.365619303
1763394222293028831,1.470283479453302,2.474007634958925,-3.751577761753788,0.376455904
1763394222302513837,1.8825217003106465,2.6282095030332204,-4.275304967050878,0.38594091
1763394222312324762,2.2614917906534626,2.6850796953113427,-4.682676488202311,0.395751835
1763394222322905778,2.607379265627832,2.680583268098636,-4.963435660254632,0.406332851
1763394222332135200,2.908767730001616,2.6402086442107957,-5.152649843538602,0.415562273
1763394222342582225,3.1502247714466707,2.576855937711194,-5.26455168564869,0.426009298
1763394222352316856,3.360135434263176,2.524749732178354,-5.347930561180754,0.435743929
1763394222362553596,3.522924519749459,2.480756029608946,-5.393107954890497,0.445980669
1763394222372911453,3.634814125396912,2.448155361349936,-5.406410149129716,0.456338526
1763394222381751537,3.6747508374729874,2.417719342555064,-5.358728387268597,0.46517861
1763394222392248868,3.623819857968397,2.3834438452788795,-5.24497628754849,0.475675941
