timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394221916572927,1.0113073095111702,2.3404856875053675,-0.004364068121787135,0.002548626267451226,-4,0.0,0.0,-0.07569094244462841,0.007482918191358385,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.0
1763394221926408703,1.0113110044371756,2.3405546320135335,0.00036949260053820154,0.006894450816608,-3,0.0,0.0,-0.07569094244462841,0.007482918191358385,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.009835776
1763394221936636245,1.0113665781391081,2.3403985661186493,0.005557370193254307,-0.015606589488426081,-2,0.0,0.0,-0.07569094244462841,0.007482918191358385,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.020063318
1763394221946568594,1.012266071003442,2.3406377031606693,0.0899492864333773,0.023913704202005448,-1,0.0,0.0,-0.07569094244462841,0.007482918191358385,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.029995667
1763394221956481085,1.0099362014173394,2.3417015610847747,-0.23298695861024843,0.10638579241053492,0,0.0010135287945576353,0.0,-0.07569094244462841,0.007482918191358385,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.039908158
1763394221966549414,1.0029575515053253,2.341752449882153,-0.6978649912014134,0.00508887973782457,1,0.0008031986331070326,0.0,-0.07283414553768293,0.005336384805206133,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,60,0.049976487
1763394221976676680,0.993401215341666,2.3369717748408347,-0.9556336163659251,-0.4780675041318183,2,-0.0016337836600998018,0.0,-0.07242723972022147,0.0008135029375368123,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,60,0.060103753
1763394221986570286,0.9816949227317442,2.324440122386347,-1.1706292609921842,-1.253165245448784,3,-0.0038180635998516055,0.0,-0.07058493240744643,-0.0022025223644202376,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,60,0.069997359
1763394221996655852,0.9673455028886047,2.305923385581516,-1.4349419843139533,-1.8516736804830902,4,-0.006011123983741273,0.0,-0.06668124909091803,-0.0030856763123745996,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,60,0.080082925
1763394222006521334,0.947901246788619,2.2830451474044677,-1.944425609998568,-2.287823817704826,5,-0.007007657604587009,0.0,-0.061882936727692635,-0.0030018323799883713,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,60,0.089948407
1763394222016422703,0.9226498770821823,2.25869387276278,-2.525136970643671,-2.435127464168785,6,-0.00800028340690963,0.0,-0.05746454765076361,-0.0032243599998039467,-0.05424018765095966,1,0.9146027266135583,-3.673718573183098,2.270933015115193,-3.280905514900725,60,0.099849776
