timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394174696981207,1.0115000428631586,2.341418347229715,0.004827588710409891,0.0,-4,0.0,0.0,-0.07917022739112105,0.004003633244865746,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.0
1763394174706997060,1.0116124953299659,2.3414438733828105,0.011245246680724463,0.002552615309525663,-3,0.0,0.0,-0.07917022739112105,0.004003633244865746,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.010015853
1763394174716987184,1.0116925164117843,2.341531033220828,0.008002108181837109,0.008715983801765859,-2,0.0,0.0,-0.07917022739112105,0.004003633244865746,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.020005977
1763394174727038354,1.0122716975958719,2.3416387771677334,0.05791811840876182,0.01077439469052699,-1,0.0,0.0,-0.07917022739112105,0.004003633244865746,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.030057147
1763394174736958219,1.0076428972663645,2.3430947427624322,-0.462880032950741,0.14559655946988492,0,0.0021026001371327345,0.0,-0.07917022739112105,0.004003633244865746,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.039977012
1763394174747078001,0.9981051867508794,2.34179895956891,-0.9537710515485021,-0.1295783193522304,1,0.0025241957330007017,0.0,-0.07550935559809609,0.002661174744792974,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,60,0.050096794
1763394174756880697,0.9859358091537112,2.333463374769445,-1.2169377597168296,-0.8335584799465057,2,0.0007851639412235773,0.0,-0.07334397748376718,-0.0001032348260089065,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,60,0.05989949
1763394174766873495,0.971693489076255,2.3163399399250255,-1.4242320077456183,-1.712343484441936,3,-0.0010686745771809846,0.0,-0.07048225304518348,-0.0020998430021572944,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,60,0.069892288
1763394174776897981,0.9539317703015813,2.2925504434476505,-1.7761718774673696,-2.378949647737505,4,-0.002551428611255703,0.0,-0.0665602108585772,-0.0029646380800337647,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,60,0.079916774
1763394174786886056,0.9309734374917848,2.266077121114986,-2.2958332809796422,-2.6473322332664306,5,-0.003959897831261882,0.0,-0.06212059679834383,-0.0032394924506395665,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,60,0.089904849
