timestamp (ns),tx_act,ty_act,tz_act,qx_act,qy_act,qz_act,qw_act,tx_pend,ty_pend,tz_pend,qx_pend,qy_pend,qz_pend,qw_pend,alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394250746338985,0.097550260907677,0.097603917539493,0.0509571846868642,0.4540091830605681,0.7432111049043258,-0.2578852226738976,-0.4183397269803586,0.2341365502129341,0.098090258251913,0.0616038864454647,-0.3618502243570345,0.1231366601557165,0.8739515613329876,-0.3001840210639009,1.0123939813066443,2.3420959936797,0.00019870865246574,0.0,-4,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.0
1763394250756269322,0.0975419954249498,0.0976144883401263,0.0509487680906293,0.4539512915757112,0.7432548475232306,-0.2578771432977756,-0.4183298166214565,0.2341365502129341,0.098090258251913,0.0616038864454647,-0.3618502243570345,0.1231366601557165,0.8739515613329876,-0.3001840210639009,1.012364727929415,2.3420959936797,-0.0029253377229254696,0.0,-3,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.009930337
1763394250766281894,0.0975462784851257,0.0976194496307378,0.0509509228405553,0.4540511293992891,0.7432020695548958,-0.2576467862545745,-0.4184571534019219,0.2341386527842626,0.0980851199913854,0.0616002449849348,-0.361851432270607,0.1230917224831515,0.8739836685566273,-0.300107507263881,1.0123373369155193,2.3421248788787232,-0.002739101389570564,0.0028885199023331865,-2,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.019942909
1763394250776202293,0.0974485323334453,0.0976247587370116,0.0510795513493538,0.4543857271968314,0.7428613155011708,-0.2579199598487087,-0.4185307290550087,0.2340633001293712,0.0980533215662557,0.0616715486129548,-0.3617847884748183,0.1226124692965467,0.8742052434877822,-0.2997384550899366,1.0128104393153086,2.3425960149261895,0.04731023997892603,0.04711360474662918,-1,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.029863308
1763394250786193391,0.0971640285627072,0.0974795996259892,0.0515056144759443,0.4550411469611992,0.7432709225812371,-0.2574620540727053,-0.4173717538719365,0.233639984249057,0.0978905425241438,0.062320337710717,-0.3614391954134173,0.1228093664740282,0.873946490753783,-0.300827357174007,1.0099937494635876,2.3431680911926778,-0.28166898517210104,0.05720762664882528,0,0.0014006628094020185,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.039854406
1763394250796203093,0.0966596953911066,0.097380720019413,0.0523333211288662,0.4569047305654656,0.7441817992786295,-0.2553190502212601,-0.4150225287902266,0.232839360991588,0.0976618091410303,0.0637865417369934,-0.3616390705616256,0.1225630837296612,0.8735359477547323,-0.3018781560998431,1.0028337011014614,2.3429347441122195,-0.7160048362126137,-0.023334708045830155,1,0.00098950612712519,0.0,-0.0730241451883398,0.00514638515454926,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,60,0.049864108
1763394250806203538,0.0959969593241688,0.0973953753689796,0.0533909384250988,0.458938465012361,0.7457523132691598,-0.2534847876370495,-0.4110650009699132,0.2318701964616025,0.0976723298650894,0.0660073624867532,-0.3640140913665896,0.1236114731893348,0.8730402860024855,-0.3000243390113823,0.9929267342912829,2.3373300366059726,-0.9906966810178552,-0.5604707506246864,2,-0.0012104960321658712,0.0,-0.07321282722491043,2.7915432847844528e-05,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,60,0.059864553
1763394250816179205,0.0952307251523219,0.0975769156004681,0.0545333656054215,0.4604167192583715,0.7482609704879016,-0.2511980573338701,-0.4062283848570299,0.2309664267191841,0.0978287403612893,0.0688358667628904,-0.3693231093983265,0.1262605300690369,0.870875541540649,-0.2987214598205475,0.980802614046903,2.324571677691556,-1.212412024437981,-1.2758358914416679,3,-0.003529028900549367,0.0,-0.07192953367693977,-0.003547123633913591,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,60,0.06984022
1763394250826183990,0.0943307788577282,0.0978072016785,0.055879145662713,0.461885195770643,0.7514703032736707,-0.2482419868244442,-0.4004127435573757,0.2299675962724617,0.0980922399911191,0.0723992608001569,-0.377519205259457,0.1296505805603195,0.8677026336237871,-0.2962467151260651,0.9660312964909803,2.305302434159855,-1.4771317555922758,-1.9269243531701008,4,-0.005554033783409381,0.0,-0.06816147588865495,-0.0045659031101115116,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,60,0.079845005
1763394250836158070,0.093087172560524,0.0979486267565765,0.057661487849524,0.4639390975941845,0.7554361237513131,-0.2441600359054807,-0.3930173705088861,0.2285062515040354,0.0981751158693801,0.0769742687507086,-0.3872291892285672,0.1333835642170132,0.8630452865995413,-0.295660638375263,0.946948844431643,2.2825682934423672,-1.908245205933734,-2.2734140717487694,5,-0.0072093205749992366,0.0,-0.06310087466981276,-0.004219770322108495,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,60,0.089819085
