timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394250746338985,1.0123939813066443,2.3420959936797,0.00019870865246574,0.0,-4,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.0
1763394250756269322,1.012364727929415,2.3420959936797,-0.0029253377229254696,0.0,-3,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.009930337
1763394250766281894,1.0123373369155193,2.3421248788787232,-0.002739101389570564,0.0028885199023331865,-2,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.019942909
1763394250776202293,1.0128104393153086,2.3425960149261895,0.04731023997892603,0.04711360474662918,-1,0.0,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.029863308
1763394250786193391,1.0099937494635876,2.3431680911926778,-0.28166898517210104,0.05720762664882528,0,0.0014006628094020185,0.0,-0.07558531666981332,0.00758854396617348,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.039854406
1763394250796203093,1.0028337011014614,2.3429347441122195,-0.7160048362126137,-0.023334708045830155,1,0.00098950612712519,0.0,-0.0730241451883398,0.00514638515454926,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,60,0.049864108
1763394250806203538,0.9929267342912829,2.3373300366059726,-0.9906966810178552,-0.5604707506246864,2,-0.0012104960321658712,0.0,-0.07321282722491043,2.7915432847844528e-05,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,60,0.059864553
1763394250816179205,0.980802614046903,2.324571677691556,-1.212412024437981,-1.2758358914416679,3,-0.003529028900549367,0.0,-0.07192953367693977,-0.003547123633913591,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,60,0.06984022
1763394250826183990,0.9660312964909803,2.305302434159855,-1.4771317555922758,-1.9269243531701008,4,-0.005554033783409381,0.0,-0.06816147588865495,-0.0045659031101115116,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,60,0.079845005
1763394250836158070,0.946948844431643,2.2825682934423672,-1.908245205933734,-2.2734140717487694,5,-0.0072093205749992366,0.0,-0.06310087466981276,-0.004219770322108495,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,60,0.089819085
1763394250846386997,0.921378940141862,2.257873818741387,-2.556990428978101,-2.4694474700980074,6,-0.0077266674642453665,0.0,-0.058165971571627284,-0.0039257839206676215,-0.05424018765095966,1,0.9146027266135583,-3.673718573183098,2.270933015115193,-3.280905514900725,60,0.100048012
1763394250856234961,0.8901603935858062,2.2311466245320823,-3.1218546556055715,-2.6727194209304805,7,-0.008035711274476387,0.0,-0.05373181325526004,-0.004057894676426348,-0.049673918578833694,1,0.8755003197243274,-4.137784935907145,2.2355129933983227,-3.7919274527565068,60,0.109895976
1763394250866082873,0.8546659170647697,2.198584921513637,-3.5494476521036544,-3.256170301844552,8,-0.007268044181851932,0.0,-0.049199354104315585,-0.00401637897442058,-0.045182975129895005,1,0.8320558331375664,-4.542380458131487,2.1952902260296496,-4.241628578533942,60,0.119743888
1763394250876262442,0.8165028108555463,2.1591784830958756,-3.8163106209223363,-3.940643841776126,9,-0.00646517550792931,0.0,-0.04401271810829881,-0.0032453698432199397,-0.040767348265078864,1,0.7848554095706292,-4.8892709975006685,2.1508721319856394,-4.631259348841281,60,0.129923457
1763394250886178267,0.7776678276015949,2.113304032044529,-3.8834983253951405,-4.5874451051346465,10,-0.006217355372333769,0.0,-0.038000004196146686,-0.0015738548690700004,-0.03642614932707668,1,0.7344662086685445,-5.180466177307754,2.1028512946031066,-4.962498258503007,60,0.139839282
1763394250896187901,0.7331959923322873,2.0645469442445603,-4.447183526930765,-4.875708779996879,11,-0.0046937162541152355,0.0,-0.03245631507970299,-0.0002987652498735741,-0.032157549829829414,1,0.6814345085147634,-5.418119557277178,2.0518020695907486,-5.237294020345753,60,0.149848916
1763394250906219551,0.6860853320119396,2.0151282063701763,-4.711066032034772,-4.9418737874384,12,-0.0043979306579048204,0.0,-0.028222266332263282,-0.0002632162473294752,-0.027959050084933806,1,0.626284641120007,-5.604455631051546,1.9982783685970358,-5.457772955784447,60,0.159880566
1763394250916177826,0.6359344573518524,1.966304004496243,-5.015087466008716,-4.882420187393333,13,-0.0038481089498716443,0.0,-0.025316360653968733,-0.0014875917343116453,-0.023828768919657087,1,0.5695186079113722,-5.741705935256084,1.9428122778779742,-5.626161346718992,60,0.169838841
1763394250926168627,0.5841661028856058,1.9165719769107616,-5.176835446624661,-4.973202758548134,14,-0.003344558000691183,0.0,-0.02285839129559016,-0.003088199499064467,-0.019770191796525692,1,0.5116162683657164,-5.8320600843516655,1.8859134115037817,-5.744717495664452,60,0.179829642
1763394250936180353,0.5435100164399527,1.8650614476131264,-4.065608644565311,-5.151052929763522,15,-0.005895201431838896,0.0,-0.019801295096372913,-0.0039923499006306925,-0.01580894519574222,1,0.45303580528432646,-5.877666167254125,1.8280688256632003,-5.815694179827927,60,0.189841368
1763394250946216711,0.4818148230481833,1.8117657179406996,-6.169519339176937,-5.3295729672426795,16,-0.0008855198706941288,0.0,-0.01593870710944331,-0.0038872169020513813,-0.012051490207391928,1,0.39421345525062257,-5.8808004472038915,1.769742893852292,-5.841406983875933,60,0.199877726
1763394250956239481,0.43151032033569586,1.7578784477207137,-5.030450271248743,-5.388727021998596,17,-0.00312668760166739,0.0,-0.012209228455943888,-0.003329313640379231,-0.008879914815564657,1,0.33555902089989254,-5.844621381422694,1.7113750736518853,-5.824666682754443,60,0.209900496
1763394250966302188,0.39041252401549525,1.7051567814546447,-4.109779632020061,-5.2721666266069,18,-0.004677488649755417,0.0,-0.010173079444686404,-0.00302282917198997,-0.007150250272696434,1,0.2774354255702912,-5.775867381053776,1.6533685327769874,-5.770433393331373,60,0.219963203
1763394250976249112,0.3393226014978808,1.6542554086098376,-5.108992251761446,-5.090137284480711,19,-0.002503958357463575,0.0,-0.0089680838199046,-0.003318476487250811,-0.005649607332653789,1,0.2200982410758642,-5.690176082572058,1.5960504991006954,-5.68999533857682,60,0.229910127
1763394250986315648,0.28013739621343325,1.604480696746592,-5.918520528444754,-4.977471186324545,20,-0.000744540297222119,0.0,-0.007919859600374921,-0.004121935847613053,-0.0037979237527618693,1,0.16365846950290847,-5.597350245107517,1.5396025385924779,-5.598108517054848,60,0.239976663
1763394250996276045,0.23574444024820307,1.5563141686670932,-4.439295596523018,-4.816652807949895,21,-0.0028591786726703196,0.0,-0.007077215834688198,-0.004995664765603476,-0.002081551069084722,1,0.10817528021856634,-5.498284474161657,1.4841104632261257,-5.499111369630365,60,0.24993706
1763394251006207049,0.17950705745477996,1.5085264458399215,-5.6237382793423105,-4.77877228271717,22,-0.0007702713203165846,0.0,-0.005907548341908877,-0.005529230975736973,-0.0003783173661719038,1,0.05371668539589576,-5.392675973611066,1.429640660655922,-5.393739240080939,60,0.259868064
1763394251016220351,0.13044420522164332,1.4607220213693566,-4.906285223313664,-4.780442447056488,23,-0.001810604232016292,0.0,-0.004254108910311015,-0.005525179322561633,0.0012710704122506173,1,0.0003429606428347722,-5.281348613654355,1.3762542237089492,-5.282560856743585,60,0.269881366
1763394251026253748,0.08273982491256718,1.4116045460180915,-4.770438030907615,-4.911747535126509,24,-0.0022443359570911607,0.0,-0.002067142019338156,-0.004936466160965547,0.0028693241416273907,1,-0.05189102810192406,-5.164824091634146,1.3240060930477975,-5.166184633987556,60,0.279914763
1763394251036270326,0.03590335013447276,1.3624778613680224,-4.6836474778094415,-4.912668465006909,25,-0.002372164447301996,0.0,0.0003341668814089132,-0.004074223738523703,0.004408390619932616,1,-0.10293638608525861,-5.043705242487876,1.272945287380497,-5.045202174147953,60,0.289931341
1763394251046180847,-0.010375211979928183,1.3142258493754793,-4.627856211440094,-4.825201199254314,26,-0.00227868301681277,0.0,0.002979892453730657,-0.0029123945730131504,0.005892287026743807,1,-0.15275008583658994,-4.918581064092797,1.2231149198198454,-4.92019957605059,60,0.299841862
1763394251056201627,-0.05671952545617942,1.2681748649578912,-4.6344313476251235,-4.605098441758804,27,-0.0018326111665066154,0.0,0.005673222226543292,-0.001605116948242445,0.007278339174785737,1,-0.2012947196700952,-4.789955038065333,1.1745522619046347,-4.791761907360308,60,0.309862642
1763394251066258530,-0.10470586306989962,1.2228048230160535,-4.79863376137202,-4.537004194183769,28,-0.0013984097279476403,0.0,0.008315853336859212,-0.00035854559012149186,0.008674398926980704,1,-0.24853908405830846,-4.658707338527723,1.127289025599265,-4.6604019595723125,60,0.319919545
1763394251076278576,-0.1511269270314944,1.1781404585001487,-4.642106396159479,-4.466436451590483,29,-0.0014014253919736501,0.0,0.012660854599140191,0.001760852975990599,0.010900001623149592,1,-0.2944582983077005,-4.524783151135742,1.0813513064333957,-4.526775353218017,60,0.329939591
1763394251086287020,-0.1959706049325591,1.1324366044640255,-4.484367790106469,-4.57038540361232,30,-0.001647210459956857,0.0,0.017719376546843805,0.004287752840373207,0.013431623706470597,1,-0.33898391323905375,-4.377056787356263,1.036753374366714,-4.392867305507309,60,0.339948035
1763394251096311438,-0.24046566167960787,1.0860204751009945,-4.449505674704876,-4.641612936303097,31,-0.0016047811680752907,0.0,0.023292641161584634,0.007410545223916873,0.01588209593766776,1,-0.38190020311714584,-4.200888863918443,0.9934886213786865,-4.260271499505513,60,0.349972453
1763394251106177786,-0.283493307880447,1.0406381030200846,-4.302764620083916,-4.538237208090989,32,-0.0014052410991598299,0.0,0.028265290044012632,0.010021554071501118,0.018243735972511516,1,-0.42288111038528686,-3.9894657647329312,0.9515437539843573,-4.1287442110490105,60,0.359838801
1763394251116213497,-0.3253261883818657,0.9964311922803746,-4.18328805014187,-4.420691073971006,33,-0.0011150764296222557,0.0,0.03249662470936432,0.01198091215366382,0.020515712555700498,1,-0.4615644467824609,-3.74129549626694,0.9109129475753543,-3.9973008743533565,60,0.369874512
