time_s,torque_diff_nm,u_ilc,u_ilc_plus_fb
0.0,-0.021604817690632445,0.0075885439661734,0.0089892067755754
0.010009701999999995,-0.021407249147328992,0.0051463851545492,0.006135891281674299
0.020010147,-0.021995179673766012,2.7915432847844528e-05,-0.0011825805993179554
0.029985813999999993,-0.022368706102525476,-0.0035471236339135,-0.0070761525344628
0.039990598999999995,-0.022119540767066008,-0.0045659031101115,-0.0101199368935208
0.049964679000000005,-0.021536233073945497,-0.0042197703221084,-0.0114290908971076
0.060193606000000004,-0.020339720905669822,-0.0039257839206676,-0.0116524513849129
0.07004157,-0.01861258381834212,-0.0040578946764263,-0.0120936059509026
0.07988948200000001,-0.016565284274930578,-0.0040163789744205,-0.0112844231562724
0.09006905099999998,-0.014457801534081001,-0.0032453698432199,-0.009710545351149201
0.099984876,-0.013017706255935395,-0.00157385486907,-0.007791210241403701
0.10999450999999999,-0.010618657824870831,-0.0002987652498735,-0.0049924815039887
0.12002615999999999,-0.009287216925565514,-0.0002632162473294,-0.0046611469052342
0.12998443499999998,-0.00806157288004905,-0.0014875917343116,-0.0053357006841832
0.139975236,-0.007041661276191585,-0.0030881994990644,-0.0064327574997555
0.149986962,-0.00599367643023652,-0.0039923499006306,-0.0098875513324694
0.16002332,-0.00624326842386767,-0.0038872169020513,-0.0047727367727454
0.17004608999999998,-0.004026416467366272,-0.0033293136403792,-0.0064560012420465
0.180108797,-0.004027656544338804,-0.0030228291719899,-0.0077003178217453
0.19005572099999998,-0.0041852087554499935,-0.0033184764872508,-0.0058224348447143
0.200122257,-0.0033978763319940826,-0.004121935847613,-0.0048664761448351
0.21008265399999998,-0.0024904656092415538,-0.0049956647656034,-0.007854843438273699
0.220013658,-0.002786662556394073,-0.0055292309757369,-0.0062995022960534
0.23002696,-0.001747059040496636,-0.0055251793225616,-0.0073357835545778
0.240060357,-0.0014864115964837894,-0.0049364661609655,-0.0071808021180566
0.250076935,-0.0009050893474985876,-0.0040742237385237,-0.0064463881858256
0.259987456,-0.00024048808181421932,-0.0029123945730131,-0.0051910775898258
0.270008236,0.0005225671734309103,-0.0016051169482424,-0.003437728114749
0.280065139,0.0013031864187768864,-0.0003585455901214,-0.0017569553180689999
0.29008518499999997,0.002494465335864557,0.0017608529759905,0.0003594275840169
0.300093629,0.003908925965429905,0.0042877528403732,0.0026405423804164007
0.310118047,0.005580409781748782,0.0074105452239168,0.0058057640558416
0.319984395,0.007367918682313398,0.0100215540715011,0.0086163129723413
0.330020106,0.008882040829465223,0.0119809121536638,0.0108658357240416
0.340032297,0.010265868392945486,0.013071897946989,0.0123449644090779
0.350064533,0.011483572271072079,0.0136078694564133,0.0130949931313193
0.360156427,0.012315814095306403,0.0136936545576617,0.0132560963651993
0.36996650999999997,0.012987278723237156,0.0135178754480499,0.0131909656889116
0.380031495,0.013508705345119651,0.0132427839975989,0.0129404068356428
0.38995631399999997,0.013877319418586671,0.013052585651084,0.0127064504576354
0.400001491,0.014128242113610336,0.0129836125765771,0.012653353956720901
0.410130151,0.014257175683198425,0.013017951138424,0.0126876590352142
0.420027263,0.01421032488456668,0.0131110974496053,0.012753045463552399
0.430119918,0.013837563934492751,0.0131335775430627,0.0128633661384865
0.439957445,0.013266568138593733,0.0132927453114026,0.0130357512827551
0.449967099,0.012336057502728051,0.0126181434178511,0.0124021564101524
0.46011898,0.01087039012450021,0.0112980965858909,0.011115335871945901
0.47001054,0.008822134147443896,0.0090915236970181,0.0089488481697866
0.480027144,0.00620524509567718,0.0055962551951272,0.005484895431139799
0.489952996,0.003085285094010657,0.0003993275727121,0.00031426602214475695
0.500111392,-0.00030248781231570097,-0.0066274653672894,-0.006677521512780836
0.510060534,-0.00436190749940788,-0.0156125181534613,-0.015651944387243426
0.52008454,-0.008718695709859031,-0.0261372979801638,-0.026170012755923736
0.530165156,-0.01292870343294196,-0.0370211818748398,-0.037058023581423766
0.539967781,-0.016210770928135818,-0.0450446273497432,-0.045089721315516244
0.549999308,-0.01747289745377764,-0.0457275419536745,-0.045787121924622295
0.56001005,-0.015502060966763015,-0.0340795530100647,-0.03414385516120841
0.570195982,-0.008558447959088122,-0.008602110167856,-0.008658088795758356
0.580135474,0.010125149357500227,0.0231980458135159,0.023161930754539633
