timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394140767169132,1.0118682145228324,2.341263861856934,0.0069564613985440005,0.004353720084671053,-4,0.0,0.0,-0.08073116051892555,0.0024427001170612417,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.0
1763394140777356871,1.0118193219246683,2.3412386319853136,-0.004889259816409641,-0.0025229871620346955,-3,0.0,0.0,-0.08073116051892555,0.0024427001170612417,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.010187739
1763394140787375709,1.0120145682395671,2.3413443525266984,0.0195246314898867,0.01057205413848017,-2,0.0,0.0,-0.08073116051892555,0.0024427001170612417,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.020206577
1763394140797270739,1.0118973525463812,2.341757174560317,-0.011721569318590142,0.04128220336188093,-1,0.0,0.0,-0.08073116051892555,0.0024427001170612417,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.030101607
1763394140807311796,1.0083049734516973,2.341905335216105,-0.3592379094683906,0.014816065578804327,0,0.001903385032558527,0.0,-0.08073116051892555,0.0024427001170612417,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,60,0.040142664
1763394140817212683,1.0006697953953028,2.3406485146696387,-0.7635178056394576,-0.1256820546466475,1,0.0015185873293468437,0.0,-0.07623786711697646,0.0019326632259126083,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,60,0.050043551
1763394140827408579,0.9899990335463527,2.333752708256353,-1.0670761848950105,-0.6895806413285577,2,-0.00044258495681762214,0.0,-0.07276615306178723,0.0004745895959710519,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,60,0.060239447
1763394140837337871,0.9770115645032007,2.3186127735377284,-1.2987469043151956,-1.5139934718624737,3,-0.0023621172456094798,0.0,-0.06912197222051757,-0.0007395621774913882,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,60,0.070168739
1763394140847225943,0.9602855870565656,2.298124623488982,-1.6725977446635065,-2.04881500487466,4,-0.004164421854302313,0.0,-0.06500453530625709,-0.001408962527713654,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,60,0.080056811
1763394140857262854,0.9387083890966286,2.2739800970786535,-2.1577197959937067,-2.414452641032838,5,-0.005462058295494428,0.0,-0.06069340750331606,-0.0018123031556117968,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,60,0.090093722
1763394140867219178,0.9110337256353032,2.247649744940311,-2.767466346132541,-2.633035213834267,6,-0.0060744654705047725,0.0,-0.05649743829117255,-0.0022572506402128868,-0.05424018765095966,1,0.9146027266135583,-3.673718573183098,2.270933015115193,-3.280905514900725,60,0.100050046
1763394140877236468,0.8790332812321777,2.218734808638552,-3.200044440312544,-2.8914936301758676,7,-0.006818356189205088,0.0,-0.05243177513581296,-0.002757856556979264,-0.049673918578833694,1,0.8755003197243274,-4.137784935907145,2.2355129933983227,-3.7919274527565068,60,0.110067336
1763394140887270729,0.8428387219009248,2.1841888549309494,-3.619455933125293,-3.4545953707602717,8,-0.006156023614779631,0.0,-0.048222987427652145,-0.003040012297757141,-0.045182975129895005,1,0.8320558331375664,-4.542380458131487,2.1952902260296496,-4.241628578533942,60,0.120101597
1763394140897138721,0.8057225941339183,2.143816260341651,-3.7116127767006457,-4.037259458929832,9,-0.006361287388756397,0.0,-0.04363017287533616,-0.002862824610257298,-0.040767348265078864,1,0.7848554095706292,-4.8892709975006685,2.1508721319856394,-4.631259348841281,60,0.129969589
1763394140907147866,0.7671415725296962,2.0989407735093466,-3.8581021604222165,-4.487548683230447,10,-0.006258424073720962,0.0,-0.038734012118222166,-0.002307862791145483,-0.03642614932707668,1,0.7344662086685445,-5.180466177307754,2.1028512946031066,-4.962498258503007,60,0.139978734
1763394140917138166,0.7218532800055415,2.052216743969948,-4.528829252415467,-4.672402953939869,11,-0.004517294784719945,0.0,-0.03387169928026699,-0.0017141494504375734,-0.032157549829829414,1,0.6814345085147634,-5.418119557277178,2.0518020695907486,-5.237294020345753,60,0.149969034
