timestamp (ns),I0,I1,I2,relative_time
1763394079888209093,-0.0450000017881393,-0.0450000017881393,-0.135000005364418,0.000268213
1763394079898217500,0.0,0.135000005364418,0.0900000035762786,0.01027662
1763394079908274168,0.0,-0.2249999940395355,-0.0900000035762786,0.020333288
1763394079918239413,-0.135000005364418,0.0,0.0450000017881393,0.030298533
1763394079928379681,0.2249999940395355,-0.2249999940395355,0.0450000017881393,0.040438801
1763394079938230805,8.145000457763672,-5.175000190734863,0.7649999856948853,0.050289925
1763394079948204221,8.954999923706055,-5.309999942779541,0.7649999856948853,0.060263341
1763394079958254393,9.0,-5.579999923706055,0.8999999761581421,0.070313513
1763394079968178222,8.954999923706055,-5.760000228881836,0.7649999856948853,0.080237342
1763394079978200737,8.864999771118164,-5.715000152587891,0.9449999928474426,0.090259857
1763394079988212077,7.514999866485596,-5.400000095367432,0.7649999856948853,0.100271197
1763394079998201697,8.010000228881836,-5.175000190734863,0.7649999856948853,0.110260817
1763394080008225190,7.380000114440918,-4.90500020980835,0.8550000190734863,0.12028431
1763394080018207057,7.199999809265137,-4.724999904632568,0.9900000095367432,0.130266177
1763394080028242563,6.885000228881836,-4.590000152587891,0.5849999785423279,0.140301683
1763394080038345047,6.34499979019165,-4.679999828338623,0.8999999761581421,0.150404167
1763394080048229834,5.894999980926514,-4.184999942779541,0.9900000095367432,0.160288954
1763394080058192005,5.039999961853027,-4.139999866485596,0.8999999761581421,0.170251125
1763394080068219968,4.5,-3.5999999046325684,0.8999999761581421,0.180279088
1763394080078235150,3.869999885559082,-3.509999990463257,0.9900000095367432,0.19029427
1763394080088178953,3.240000009536743,-3.3299999237060547,0.9900000095367432,0.200238073
1763394080098202027,2.789999961853028,-2.970000028610229,0.7649999856948853,0.210261147
1763394080108297527,2.2950000762939453,-2.700000047683716,0.8550000190734863,0.220356647
1763394080118271083,1.8450000286102293,-2.430000066757202,0.8999999761581421,0.230330203
1763394080128203851,1.440000057220459,-2.025000095367432,0.8550000190734863,0.240262971
1763394080138221477,1.125,-1.8450000286102293,0.8100000023841858,0.250280597
1763394080148262151,0.9900000095367432,-1.4850000143051147,0.675000011920929,0.260321271
1763394080158258825,0.6299999952316284,-1.440000057220459,0.8100000023841858,0.270317945
1763394080168196342,0.3600000143051147,-1.125,0.6299999952316284,0.280255462
1763394080178172483,0.1800000071525573,-0.8550000190734863,0.675000011920929,0.290231603
1763394080188212807,0.270000010728836,-0.8550000190734863,0.5849999785423279,0.300271927
1763394080198241678,0.1800000071525573,-0.6299999952316284,0.3600000143051147,0.310300798
1763394080208641130,0.1800000071525573,-0.270000010728836,0.270000010728836,0.32070025
1763394080218287896,-0.0450000017881393,-0.2249999940395355,-0.0450000017881393,0.330347016
1763394080228329058,-0.0450000017881393,0.135000005364418,-0.1800000071525573,0.340388178
1763394080238232423,-0.135000005364418,0.0,-0.1800000071525573,0.350291543
1763394080248153807,-0.0450000017881393,0.5400000214576721,-0.5400000214576721,0.360212927
1763394080258261041,0.135000005364418,0.4950000047683716,-0.8550000190734863,0.370320161
1763394080268157910,0.3600000143051147,0.9449999928474426,-1.1699999570846558,0.38021703
1763394080278251804,0.4950000047683716,1.1699999570846558,-1.440000057220459,0.390310924
1763394080288181918,0.8100000023841858,1.125,-1.8899999856948853,0.400241038
1763394080298209741,1.0800000429153442,1.440000057220459,-2.3399999141693115,0.410268861
1763394080308130636,1.440000057220459,1.5750000476837158,-2.565000057220459,0.420189756
1763394080318316721,1.440000057220459,1.6649999618530271,-2.8350000381469727,0.430375841
1763394080328189984,1.7999999523162842,1.7549999952316284,-3.375,0.440249104
1763394080338253147,2.115000009536743,1.6649999618530271,-3.555000066757202,0.450312267
1763394080348165522,2.4749999046325684,1.7549999952316284,-3.7799999713897705,0.460224642
1763394080358171135,2.700000047683716,1.7549999952316284,-4.050000190734863,0.470230255
1763394080368218723,3.015000104904175,1.7549999952316284,-4.050000190734863,0.480277843
1763394080378216165,3.240000009536743,1.5750000476837158,-4.050000190734863,0.490275285
1763394080388194890,3.4649999141693115,1.440000057220459,-4.09499979019165,0.50025401
1763394080398231373,3.6449999809265137,1.5299999713897705,-4.230000019073486,0.510290493
1763394080408256193,3.555000066757202,1.5750000476837158,-4.139999866485596,0.520315313
1763394080418390734,3.734999895095825,1.4850000143051147,-4.230000019073486,0.530449854
1763394080428253940,3.734999895095825,1.440000057220459,-4.139999866485596,0.54031306
1763394080438328348,3.6449999809265137,1.3949999809265137,-3.734999895095825,0.550387468
1763394080448204614,3.4200000762939453,1.350000023841858,-3.690000057220459,0.560263734
1763394080458254298,2.5199999809265137,0.9449999928474426,-2.700000047683716,0.570313418
1763394080468227365,1.934999942779541,0.7649999856948853,-2.069999933242798,0.580286485
1763394080478235073,1.2599999904632568,0.6299999952316284,-1.7100000381469729,0.590294193
1763394080488250744,0.5849999785423279,0.0,-0.7649999856948853,0.600309864
1763394080498246370,-0.135000005364418,-0.0450000017881393,0.3149999976158142,0.61030549
1763394080508274961,-1.034999966621399,-0.675000011920929,1.440000057220459,0.620334081
1763394080518319127,-1.6649999618530271,-1.125,2.5199999809265137,0.630378247
