time,alpha,phi,alphaD,phiD,attempt_ix,current_k
1.7651350797467284e+18,1.031147405361165,2.3617890988604526,-0.0039894838904652,-0.0041541627123109,1,-4
1.7651350797565235e+18,1.0311472005092763,2.361654236554021,-2.048518885633399e-05,-0.0134862306431671,1,-3
1.7651350797670129e+18,1.031147200509278,2.361654236554021,1.7763568394002505e-13,0.0,1,-2
1.765135079776151e+18,1.0321356326143178,2.3620112958811585,0.0988432105039738,0.0357059327137587,1,-1
1.7651350797869225e+18,1.0303689995460563,2.362840952560744,-0.1766633068261303,0.0829656679585344,1,0
1.765135079796879e+18,1.0243866208317205,2.3630693918216483,-0.5982378714336267,0.0228439260904433,1,1
1.7651350798066104e+18,1.0145835911133432,2.3602871241948766,-0.98030297183771,-0.2782267626771695,1,2
1.7651350798169203e+18,1.002619590805845,2.3509374432482506,-1.1964000307498113,-0.9349680946626028,1,3
1.7651350798270623e+18,0.9881819424742933,2.3337119747096384,-1.4437648331551922,-1.7225468538612176,1,4
1.765135079837333e+18,0.9696827738216104,2.310456535928592,-1.8499168652682865,-2.325543878104641,1,5
1.7651350798461573e+18,0.9461299502923184,2.2843024064120434,-2.3552823529291778,-2.6154129516548608,1,6
1.7651350798567345e+18,0.9162731742163488,2.2562071379496365,-2.9856776075969704,-2.809526846240696,1,7
1.7651350798665065e+18,0.8799272344222145,2.224929057092597,-3.634593979413425,-3.1278080857039647,1,8
1.765135079876364e+18,0.8423002210782142,2.187254915682229,-3.762701334400032,-3.767414141036785,1,9
1.7651350798867415e+18,0.7995930259619672,2.142775571869381,-4.270719511624699,-4.447934381284746,1,10
1.7651350798969784e+18,0.7560648992756778,2.0934956013377297,-4.352812668628947,-4.927997053165178,1,11
1.7651350799064256e+18,0.7099299898391636,2.041516777780502,-4.6134909436514215,-5.197882355722783,1,12
1.7651350799169623e+18,0.6609462661686664,1.9900841320837024,-4.898372367049719,-5.143264569679973,1,13
1.7651350799266104e+18,0.6114778133111833,1.9392044471240388,-4.946845285748302,-5.087968495966333,1,14
1.765135079936614e+18,0.5602178654714626,1.8895445723468025,-5.125994783972076,-4.965987477723632,1,15
1.7651350799470203e+18,0.5087311752026246,1.8398538233768715,-5.148669026883801,-4.969074896993098,1,16
1.765135079956154e+18,0.4584861059416656,1.788828087472424,-5.0245069260958894,-5.102573590444748,1,17
1.765135079966804e+18,0.4179730383611632,1.7380194699768252,-4.0513067580502495,-5.080861749559884,1,18
1.7651350799766508e+18,0.3605706278824179,1.6877679238523644,-5.740241047874522,-5.025154612446081,1,19
1.7651350799869665e+18,0.3121342256511795,1.63846279689521,-4.843640223123841,-4.930512695715428,1,20
1.765135079997012e+18,0.2634047073841332,1.5909233897597346,-4.872951826704636,-4.753940713547555,1,21
1.7651350800069532e+18,0.2212738115538384,1.5441387424557664,-4.213089583029472,-4.678464730396814,1,22
1.7651350800172946e+18,0.1650275254660091,1.497292008395257,-5.624628608782933,-4.684673406050943,1,23
1.765135080027125e+18,0.116736531189736,1.449809090622856,-4.829099427627306,-4.748291777240099,1,24
1.7651350800372895e+18,0.0748505447525,1.400854096019678,-4.188598643723601,-4.895499460317798,1,25
1.7651350800473718e+18,0.0246311810795852,1.3514250428114665,-5.0219363672914765,-4.942905320821156,1,26
1.7651350800567698e+18,-0.0235243755468244,1.3028616085376763,-4.815555662640972,-4.856343427379017,1,27
1.7651350800669586e+18,-0.0707766191819618,1.2554804580220429,-4.725224363513742,-4.738115051563363,1,28
1.7651350800766482e+18,-0.1164325781219429,1.2098890216463754,-4.565595893998115,-4.559143637566732,1,29
1.7651350800861038e+18,-0.1628861288664083,1.1654786391895082,-4.645355074446536,-4.441038245686713,1,30
1.7651350800967227e+18,-0.2057143418854179,1.1208274848749231,-4.282821301900955,-4.465115431458511,1,31
1.7651350801069614e+18,-0.2521865920291797,1.0754988381156545,-4.64722501437618,-4.532864675926884,1,32
1.765135080117379e+18,-0.2942142741744424,1.0305564699627978,-4.20276821452627,-4.494236815285646,1,33
1.765135080133508e+18,-0.2942142741744424,0.9864171299441388,-4.20276821452627,-4.413934001865904,1,34
1.7651350801364836e+18,-0.3709458620901443,0.9434776099515836,-3.694705291347916,-4.29395199925553,1,35
1.7651350801470917e+18,-0.4045174434052647,0.9014917164101534,-3.3571581315120445,-4.198589354143012,1,36
1.7651350801567803e+18,-0.4333350034148837,0.8610444281010973,-2.881756000961893,-4.044728830905608,1,37
1.7651350801670326e+18,-0.4564007422734767,0.8218119667125376,-2.306573885859303,-3.9232461388559625,1,38
1.7651350801771144e+18,-0.4729536394074967,0.7832190415478728,-1.6552897134019973,-3.859292516466484,1,39
1.765135080186503e+18,-0.482010188145937,0.7454478647645667,-0.9056548738440362,-3.7771176783306095,1,40
1.7651350801963763e+18,-0.4808408341386309,0.7080203430136971,0.1169354007306111,-3.742752175086961,1,41
1.7651350802063662e+18,-0.4765465408361674,0.6707633590871052,0.4294293302463559,-3.7256983926591936,1,42
1.7651350802157926e+18,-0.4618165275350239,0.6329526086574536,1.473001330114343,-3.781075042965154,1,43
1.7651350802263995e+18,-0.4395864416336811,0.5939606282216441,2.223008590134279,-3.8991980435809537,1,44
1.765135080236742e+18,-0.4100986380334169,0.5543117868071847,2.948780360026426,-3.964884141445935,1,45
1.765135080247074e+18,-0.3738600716372537,0.5120917886819768,3.6238566396163128,-4.221999812520793,1,46
1.7651350802564657e+18,-0.3304758710560772,0.4669522243385752,4.338420058117653,-4.513956434340155,1,47
1.7651350802666652e+18,-0.277715506581456,0.4178353393592104,5.276036447462124,-4.911688497936484,1,48
1.7651350802766794e+18,-0.2219808807730314,0.3636515904310404,5.573462580842456,-5.418374892817002,1,49
1.765135080286298e+18,-0.1553632579365683,0.3035825976652003,6.661762283646308,-6.00689927658401,1,50
1.7651350802965345e+18,-0.0814722990815877,0.2374683425769406,7.389095885498063,-6.611425508825963,1,51
1.76513508030641e+18,-0.0017291639598731,0.1662026546591298,7.9743135121714515,-7.126568791781085,1,52
1.765135080316592e+18,0.0825429042253793,0.0923745180536067,8.427206818525255,-7.382813660552308,1,53
1.7651350803268598e+18,0.1659471039264756,0.018347624502234,8.34041997010963,-7.402689355137264,1,54
1.765135080336761e+18,0.2450188740823849,-0.0506168860051175,7.907177015590924,-6.896451050735163,1,55
1.765135080346874e+18,0.315336517051846,-0.1109867164047527,7.03176429694611,-6.0369830399635225,1,56
1.765135080357372e+18,0.3715159426677996,-0.1597956105701642,5.617942561595362,-4.880889416541144,1,57
1.7651350803672522e+18,0.4105410103430084,-0.1958239100802757,3.90250676752088,-3.6028299510111523,1,58
1.76513508037682e+18,0.4312356773065763,-0.2193563899421597,2.0694666963567863,-2.353247986188403,1,59
1.7651350925167503e+18,1.0309988855717804,2.3619252801600745,0.0007712277185767,0.0,2,-4
1.765135092527258e+18,1.0311522934423387,2.3619252801600745,0.0153407870558286,0.0,2,-3
1.7651350925366917e+18,1.030989859166676,2.361973506062039,-0.0162434275662759,0.0048225901964293,2,-2
1.7651350925467784e+18,1.0322165508095855,2.3621658489400663,0.122669164290956,0.0192342878027496,2,-1
1.765135092556648e+18,1.0297036601737708,2.363079776546156,-0.2512890635814724,0.0913927606088993,2,0
1.7651350925672148e+18,1.0215598333597238,2.3634980023733485,-0.8143826814047017,0.0418225827193197,2,1
1.7651350925768612e+18,1.0093692009383517,2.359618961802994,-1.2190632421372305,-0.3879040570354597,2,2
1.765135092586724e+18,1.0093692009383517,2.34676010683532,-1.2190632421372305,-1.2858854967674027,2,3
1.7651350925965578e+18,0.978576766902894,2.3253444248516937,-1.6740284466715494,-2.14156819836262,2,4
1.7651350926073664e+18,0.95561481997366,2.297723384658676,-2.2961946929234034,-2.76210401930177,2,5
1.765135092617374e+18,0.9315271535093628,2.2680674601765496,-2.4087666464297386,-2.9655924482126395,2,6
1.7651350926269176e+18,0.8977532905248603,2.237120415968732,-3.377386298450236,-3.0947044207817687,2,7
1.7651350926367378e+18,0.8586222735991158,2.2030619476446804,-3.91310169257445,-3.405846832405146,2,8
1.7651350926471583e+18,0.8167653959844734,2.1634477724694863,-4.185687761464241,-3.9614175175194166,2,9
1.765135092656753e+18,0.7739555050504208,2.116681772794557,-4.280989093405263,-4.676599967492878,2,10
1.7651350926666908e+18,0.7293814057883973,2.065172433870724,-4.457409926202349,-5.150933892383369,2,11
1.7651350926769754e+18,0.6827581730282487,2.0121545069683915,-4.662323276014857,-5.301792690233231,2,12
1.7651350926867988e+18,0.6339423556950973,1.9599193422623344,-4.881581733315144,-5.223516470605727,2,13
1.7651350926965655e+18,0.5833168211636685,1.908887622399077,-5.062553453142882,-5.103171986325727,2,14
1.765135092706701e+18,0.5413776691302474,1.8595325974878536,-4.193915203342102,-4.935502491122334,2,15
1.7651350927167956e+18,0.4806352049512671,1.810337059490405,-6.074246417898032,-4.919553799744847,2,16
1.765135092726476e+18,0.4388449260700292,1.7612210928756225,-4.1790278881237874,-4.911596661478268,2,17
1.7651350927369556e+18,0.3815707326781221,1.711118495540343,-5.727419339190715,-5.010259733527955,2,18
1.765135092746681e+18,0.3334637136903963,1.6613614247062052,-4.810701898772574,-4.975707083413772,2,19
1.7651350927568049e+18,0.2846866999872772,1.6124621313624907,-4.87770137031191,-4.889929334371446,2,20
1.765135092766194e+18,0.2368256630150486,1.5643610305586086,-4.786103697222862,-4.810110080388208,2,21
1.7651350927767565e+18,0.1938020706251925,1.5168913075601729,-4.302359238985612,-4.746972299843599,2,22
1.7651350927868032e+18,0.1376162544495929,1.470246967903022,-5.618581617559956,-4.664433965715076,2,23
1.7651350927970266e+18,0.0914172677865562,1.4231299631698846,-4.6198986663036665,-4.711700473313729,2,24
1.7651350928062584e+18,0.04317268952148,1.374896242283972,-4.82445782650762,-4.823372088591249,2,25
1.7651350928169203e+18,-0.000392190920521,1.3264792896734865,-4.356488044200116,-4.841695261048584,2,26
1.7651350928265846e+18,-0.0493242784078951,1.2783162857880823,-4.8932087487374005,-4.816300388540395,2,27
1.7651350928368394e+18,-0.0952973120995747,1.23133055610136,-4.597303369167968,-4.698572968672243,2,28
1.765135092847019e+18,-0.1415612867261139,1.1850580952174172,-4.626397462653915,-4.627246088394266,2,29
1.7651350928573868e+18,-0.1415612867261139,1.1399523665568112,-4.626397462653915,-4.510572866060603,2,30
1.7651350928676454e+18,-0.2326068337488401,1.095261423447092,-4.547904666215205,-4.469094310971933,2,31
1.765135092876741e+18,-0.2768073445050021,1.0508119168235177,-4.4200510756162,-4.444950662357439,2,32
1.765135092886488e+18,-0.3195952853197286,1.006084815143595,-4.278794081472648,-4.472710167992244,2,33
1.765135092896857e+18,-0.3601663402798624,0.9627404165473276,-4.05710549601338,-4.3344398596267375,2,34
1.7651350929062953e+18,-0.3984024265326038,0.9197763646089044,-3.8236086252741375,-4.296405193842323,2,35
1.7651350929166426e+18,-0.4328343390198841,0.8782972912007097,-3.443191248728028,-4.147907340819478,2,36
1.765135092926688e+18,-0.4632647194600082,0.8376692102597626,-3.043038044012408,-4.062808094094705,2,37
1.7651350929356111e+18,-0.4879781518236,0.7982565628530722,-2.4713432363591856,-3.941264740669037,2,38
1.7651350929462776e+18,-0.506132698067221,0.7595494113208696,-1.8154546243621008,-3.870715153220261,2,39
1.7651350929560507e+18,-0.5149097617560646,0.7217632890799585,-0.8777063688843567,-3.778612224091116,2,40
1.7651350929662464e+18,-0.5203631664662133,0.6838694463118428,-0.5453404710148657,-3.789384276811569,2,41
1.7651350929759232e+18,-0.5133189126692669,0.646324194532975,0.7044253796946398,-3.754525177886781,2,42
1.7651350929857416e+18,-0.5030941920163158,0.6079449405555117,1.0224720652951105,-3.8379253977463215,2,43
1.765135092996639e+18,-0.4826494164148849,0.5691058118215824,2.044477560143088,-3.883912873392936,2,44
1.7651350930060116e+18,-0.4550084462945045,0.5288927147489773,2.7640970120380413,-4.021309707260512,2,45
1.7651350930160704e+18,-0.4205463852544212,0.4863201400005469,3.4462061040083314,-4.257257474843034,2,46
1.765135093025729e+18,-0.3795277716357997,0.4410904443716511,4.101861361862142,-4.522969562889578,2,47
1.765135093036306e+18,-0.3317681311901857,0.3924350457988922,4.775964044561404,-4.865539857275886,2,48
1.7651350930463985e+18,-0.2769265093281735,0.3394711080398331,5.484162186201219,-5.2963937759059165,2,49
1.7651350930560812e+18,-0.2140604347811227,0.2805939421431395,6.286607454705075,-5.887716589669356,2,50
1.7651350930660173e+18,-0.1445530982285921,0.2167417458073561,6.950733655253063,-6.38521963357834,2,51
1.7651350930759004e+18,-0.0690075926429034,0.147666548802458,7.554550558568867,-6.9075197004898055,2,52
1.7651350930865395e+18,0.009778437812469,0.075702083168074,7.878603045537257,-7.196446563438399,2,53
1.765135093096986e+18,0.088217660734003,0.0036603052038003,7.843922292153393,-7.204177796427369,2,54
1.7651350931066993e+18,0.1627273785111138,-0.0641985960703604,7.450971777711085,-6.785890127416086,2,55
1.76513509311675e+18,0.2282132053761961,-0.1233210185675654,6.548582686508222,-5.912242249720497,2,56
1.7651350931272763e+18,0.2784609623809992,-0.1707945509308426,5.024775700480316,-4.747353236327719,2,57
1.7651350931367447e+18,0.3113147398186001,-0.2051329678280556,3.285377743760088,-3.433841689721304,2,58
1.7651350931471703e+18,0.3252892918854416,-0.2257103867280255,1.397455206684145,-2.057741889996989,2,59
1.7651351092372936e+18,1.0312811823722348,2.361590511286018,-0.0031151955123487,0.010119846038048,3,-4
1.7651351092465144e+18,1.03120052226178,2.361573889634454,-0.0130382523814587,-0.0016621651564019,3,-3
1.7651351092575096e+18,1.0311747207287392,2.361474636489735,-0.002580153304077,-0.0099253144719035,3,-2
1.7651351092662694e+18,1.0322446896964177,2.361717541924845,0.1069968967678525,0.0242905435110074,3,-1
1.765135109276645e+18,1.0299648008307325,2.362624583923308,-0.2279888865685198,0.0907041998462254,3,0
1.7651351092892997e+18,1.0217905268434726,2.3628817729444265,-0.8174273987259895,0.0257189021119153,3,1
1.7651351092965427e+18,1.0096334949315977,2.3592044945235617,-1.2157031911874894,-0.3677278420864738,3,2
1.7651351093065544e+18,0.995496139775165,2.346372314221678,-1.4137355156432665,-1.28321803018836,3,3
1.7651351093166075e+18,0.9789992103652344,2.325020467916347,-1.6496929409930638,-2.135184630533127,3,4
1.7651351093262482e+18,0.958263183432647,2.2976483932566847,-2.073602693258736,-2.7372074659662182,3,5
1.7651351093364493e+18,0.9315696813979564,2.267867678975056,-2.6693502034690675,-2.978071428162909,3,6
1.7651351093468086e+18,0.8987730247091429,2.237129857417125,-3.2796656688813486,-3.073782155793081,3,7
1.7651351093561964e+18,0.8600469094131816,2.2031976080792823,-3.872611529596126,-3.3932249337842446,3,8
1.7651351093665585e+18,0.818082198376321,2.1638405230351867,-4.196471103686061,-3.935708504409563,3,9
1.765135109376381e+18,0.7747811005909107,2.11828791393781,-4.330109778541035,-4.55526090973768,3,10
1.7651351093862129e+18,0.7302547908514476,2.066327951050009,-4.452630973946303,-5.195996288780069,3,11
1.7651351093961925e+18,0.6838091571278982,2.012904721008499,-4.644563372354937,-5.342323004151028,3,12
1.7651351094066132e+18,0.6354532728769349,1.960278420054654,-4.835588425096337,-5.26263009538448,3,13
1.7651351094166554e+18,0.5848866873796535,1.9090338932720945,-5.056658549728132,-5.124452678255986,3,14
1.765135109426296e+18,0.5337345602895166,1.8589255054765448,-5.115212709013695,-5.010838779554949,3,15
1.7651351094396718e+18,0.5337345602895166,1.8101958293885945,-5.115212709013695,-4.872967608795031,3,16
1.765135109446428e+18,0.4319359637823116,1.761206183115084,-5.069559097997367,-4.898964627351043,3,17
1.7651351094566264e+18,0.3825048618079978,1.712028282993182,-4.943110197431372,-4.917790012190215,3,18
1.7651351094671534e+18,0.3418509764692816,1.662046396361361,-4.065388533871627,-4.99818866318209,3,19
1.7651351094759944e+18,0.2866206949574269,1.6131395242271065,-5.523028151185466,-4.890687213425449,3,20
1.7651351094865075e+18,0.2388337610373953,1.5651717517322352,-4.778693392003156,-4.796777249487128,3,21
1.7651351094970895e+18,0.1908301156532473,1.5187813342214722,-4.800364538414806,-4.6390417510763005,3,22
1.765135109506512e+18,0.1466663099909901,1.4723782860783106,-4.416380566225714,-4.640304814316165,3,23
1.7651351095162143e+18,0.0941011077586253,1.4260924415749126,-5.25652022323648,-4.628584450339801,3,24
1.7651351095269996e+18,0.0460417379019531,1.3782822397591885,-4.805936985667226,-4.781020181572426,3,25
1.765135109536431e+18,-0.0018155474209208,1.3294372796166136,-4.785728532287398,-4.884496014257467,3,26
1.7651351095465487e+18,-0.0457368723781854,1.280613480573336,-4.39213249572646,-4.8823799043277605,3,27
1.7651351095570245e+18,-0.0921545697054828,1.2329380823442722,-4.641769732729734,-4.767539822906386,3,28
1.7651351095660326e+18,-0.137934901467109,1.1868163908516862,-4.578033176162627,-4.612169149258594,3,29
1.7651351095759002e+18,-0.1839925420153879,1.141931064131884,-4.605764054827885,-4.4885326719802165,3,30
1.765135109585852e+18,-0.2292450145656311,1.0980813523046125,-4.5252472550243175,-4.38497118272716,3,31
1.7651351095962304e+18,-0.2738745307122254,1.053801510023336,-4.462951614659436,-4.427984228127646,3,32
1.7651351096062444e+18,-0.3166648708263929,1.0098452730831415,-4.279034011416743,-4.395623694019446,3,33
1.765135109616734e+18,-0.3572051312491341,0.9658238223211234,-4.054026042274122,-4.402145076201813,3,34
1.7651351096263132e+18,-0.395293486241514,0.9224378624274188,-3.808835499237989,-4.338595989370475,3,35
1.7651351096358984e+18,-0.429681554000389,0.8803151635504254,-3.438806775887504,-4.212269887699327,3,36
1.7651351096459917e+18,-0.4597807573726486,0.8392535557043292,-3.009920337225957,-4.106160784609614,3,37
1.7651351096559355e+18,-0.4818696825202657,0.7994171525082514,-2.2088925147617067,-3.983640319607784,3,38
1.7651351096663004e+18,-0.5022729661026372,0.7604748484247308,-2.040328358237148,-3.894230408352062,3,39
1.765135109676489e+18,-0.513221456268464,0.7218937867083688,-1.0948490165826883,-3.8581061716362,3,40
1.7651351096870574e+18,-0.5164337618908964,0.6840106655037707,-0.3212305622432354,-3.7883121204598136,3,41
1.7651351096964744e+18,-0.5114159123474477,0.6459466619335407,0.5017849543448749,-3.806400357022999,3,42
1.765135109706813e+18,-0.498831045120068,0.6074260820714636,1.2584867227379617,-3.852057986207702,3,43
1.765135109716464e+18,-0.4786073540460995,0.5677640014191222,2.0223691073968486,-3.9662080652341447,3,44
1.7651351097256369e+18,-0.4512129543068545,0.5268973352454194,2.7394399739245068,-4.086666617370282,3,45
1.7651351097363727e+18,-0.4169038695145657,0.4838804219391662,3.430908479228872,-4.301691330625312,3,46
1.7651351097462592e+18,-0.3758736805006572,0.4381703238724295,4.103018901390853,-4.57100980667367,3,47
1.7651351097563236e+18,-0.3278510639050924,0.3887553149362256,4.802261659556484,-4.941500893620387,3,48
1.765135109766565e+18,-0.2722862788039918,0.3349179489806051,5.556478510110052,-5.383736595562056,3,49
1.7651351097760218e+18,-0.209274647924852,0.2754682399950706,6.301163087913985,-5.944970898553447,3,50
1.7651351097863432e+18,-0.1383853193684465,0.2100683591601758,7.088932855640545,-6.539988083489479,3,51
1.765135109796697e+18,-0.0631636841974049,0.1400274085882605,7.522163517104162,-7.004095057191528,3,52
1.765135109806955e+18,0.0167924584593508,0.066759414879117,7.995614265675583,-7.326799370914352,3,53
1.7651351098234388e+18,0.0167924584593508,-0.0069492929278808,7.995614265675583,-7.370870780699792,3,54
1.765135109826614e+18,0.1713898099342127,-0.0762219460013338,7.532854701054411,-6.927265307345295,3,55
1.7651351098367186e+18,0.237949586279538,-0.1367689285111598,6.6559776345325306,-6.0546982509826055,3,56
1.7651351098463578e+18,0.2885733509420566,-0.1855321027602573,5.062376466251855,-4.876317424909746,3,57
1.7651351098569485e+18,0.3223461591117422,-0.2209418192008835,3.377280816968564,-3.540971644062621,3,58
1.7651351098670267e+18,0.3367643873210637,-0.2434188571173981,1.4418228209321482,-2.2477037916514564,3,59
1.7651351256273654e+18,1.031669645053077,2.36226359255971,0.0101439006306103,0.0065322987182536,4,-4
1.765135125636766e+18,1.0315540509420318,2.36226359255971,-0.0115594111044892,0.0,4,-3
1.7651351256468713e+18,1.0315142551226957,2.362210406212217,-0.0039795819336108,-0.0053186347493294,4,-2
1.7651351256563236e+18,1.03251660042143,2.362547917850012,0.1002345298734219,0.0337511637795273,4,-1
1.765135125666303e+18,1.0300631724324645,2.363273345421781,-0.2453427988965417,0.0725427571768744,4,0
1.7651351256759145e+18,1.021608584680625,2.362986765227,-0.8454587751839382,-0.028658019478156,4,1
1.7651351256856906e+18,1.0096315327816658,2.358685688960911,-1.1977051898959257,-0.4301076266088444,4,2
1.7651351256965596e+18,0.9950965036521944,2.3455417139753,-1.4535029129471466,-1.3143974985610818,4,3
1.765135125706501e+18,0.9783716477009434,2.323882804683833,-1.672485595125095,-2.165890929146697,4,4
1.765135125716321e+18,0.9573328301319796,2.2962674945410844,-2.1038817568963752,-2.761531014274876,4,5
1.7651351257263982e+18,0.9303609396269186,2.266775403551172,-2.6971890505061102,-2.9492090989912345,4,6
1.7651351257361344e+18,0.8964604378398614,2.235397307441352,-3.390050178705717,-3.137809610982023,4,7
1.765135125748508e+18,0.8576027903769412,2.2011645259468176,-3.88576474629202,-3.423278149453424,4,8
1.765135125756523e+18,0.815352942696117,2.1610722631989763,-4.224984768082418,-4.009226274784128,4,9
1.7651351257665108e+18,0.7718109475605909,2.1138104568072262,-4.354199513552614,-4.726180639175004,4,10
1.7651351257760837e+18,0.7270110188146489,2.062125287181688,-4.479992874594196,-5.1685169625538485,4,11
1.765135125786522e+18,0.6793363158384863,2.008956541383893,-4.767470297616261,-5.316874579779451,4,12
1.765135125796617e+18,0.6292615724578277,1.9562177139394823,-5.007474338065864,-5.273882744441072,4,13
1.7651351258062444e+18,0.5779724615739386,1.904284721655637,-5.12891108838891,-5.19329922838454,4,14
1.765135125816379e+18,0.5263400896231359,1.8534547030176856,-5.163237195080261,-5.0830018637951335,4,15
1.765135125827408e+18,0.4747452134469529,1.8033587576837915,-5.159487617618303,-5.00959453338945,4,16
1.76513512583719e+18,0.4241280210809434,1.7529843406862065,-5.061719236600948,-5.0374416997584825,4,17
1.7651351258469742e+18,0.374964819325298,1.703095771177897,-4.916320175564537,-4.988856950830956,4,18
1.765135125856506e+18,0.3264033199655863,1.653155460762835,-4.856149935971171,-4.994031041506197,4,19
1.7651351258657103e+18,0.2784174927516964,1.6047128223844978,-4.798582721388988,-4.844263837833718,4,20
1.76513512587687e+18,0.2369957258397954,1.557704420173838,-4.142176691190103,-4.7008402210659606,4,21
1.7651351258859215e+18,0.1824342063333925,1.5111601994622297,-5.456151950640292,-4.654422071160869,4,22
1.7651351258964024e+18,0.134454440162202,1.4649664241553315,-4.797976617119051,-4.619377530689772,4,23
1.7651351259067162e+18,0.0871627964902497,1.418909833314374,-4.729164367195223,-4.605659084095759,4,24
1.765135125916673e+18,0.0417633128832405,1.370955811504212,-4.539948360700924,-4.795402181016217,4,25
1.7651351259266867e+18,-0.0056282724110011,1.322777401893614,-4.739158529424169,-4.817840961059794,4,26
1.7651351259362035e+18,-0.0522550813538413,1.2749621544293932,-4.662680894284022,-4.781524746422083,4,27
1.7651351259460173e+18,-0.097932116997997,1.227883301737822,-4.56770356441557,-4.707885269157108,4,28
1.7651351259562086e+18,-0.1436990011022025,1.182155208984019,-4.57668841042055,-4.572809275380307,4,29
1.7651351259660495e+18,-0.1893334441409266,1.137564719041665,-4.56344430387241,-4.459048994235415,4,30
1.7651351259756516e+18,-0.2345062821164373,1.093528722806935,-4.517283797551061,-4.403599623472987,4,31
1.76513512598646e+18,-0.2786915197082523,1.0492730203569465,-4.418523759181506,-4.425570244998855,4,32
